"","ID","description","units","datasetLabel","datasteURL","themeLabel","themeURL","watershedType"
"1","CAT_BFI","Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.","percent","Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.","https://www.sciencebase.gov/catalog/item/5669a8e3e4b08895842a1d4f","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"2","ACC_BFI","Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.","percent","Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.","https://www.sciencebase.gov/catalog/item/5669a8e3e4b08895842a1d4f","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"3","TOT_BFI",NA,NA,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.","https://www.sciencebase.gov/catalog/item/5669a8e3e4b08895842a1d4f","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"4","CAT_PET","Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ","mm/year","Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ","https://www.sciencebase.gov/catalog/item/56f96ed1e4b0a6037df06a2d","Climate","https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7","localCatch_name"
"5","ACC_PET","Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ","mm/year","Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ","https://www.sciencebase.gov/catalog/item/56f96ed1e4b0a6037df06a2d","Climate","https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7","divRoute_name"
"6","TOT_PET",NA,NA,"Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ","https://www.sciencebase.gov/catalog/item/56f96ed1e4b0a6037df06a2d","Climate","https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7","totRoute_name"
"7","CAT_CONTACT","Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream. ","days","Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream. ","https://www.sciencebase.gov/catalog/item/56f96fc5e4b0a6037df06b12","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"8","ACC_CONTACT","Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream. ","days","Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream. ","https://www.sciencebase.gov/catalog/item/56f96fc5e4b0a6037df06b12","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"9","TOT_CONTACT",NA,NA,"Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream. ","https://www.sciencebase.gov/catalog/item/56f96fc5e4b0a6037df06b12","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"10","CAT_EWT","Average depth to water table relatice to the land surface(meters)","meters","Average depth to water table relatice to the land surface(meters)","https://www.sciencebase.gov/catalog/item/56f97456e4b0a6037df06b50","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"11","ACC_EWT","Average depth to water table relatice to the land surface(meters)","meters","Average depth to water table relatice to the land surface(meters)","https://www.sciencebase.gov/catalog/item/56f97456e4b0a6037df06b50","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"12","TOT_EWT",NA,NA,"Average depth to water table relatice to the land surface(meters)","https://www.sciencebase.gov/catalog/item/56f97456e4b0a6037df06b50","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
"13","CAT_IEOF","Percentage of Horton overland flow as a percent","percent","Percentage of Horton overland flow as a percent","https://www.sciencebase.gov/catalog/item/56f974e2e4b0a6037df06b55","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","localCatch_name"
"14","ACC_IEOF","Percentage of Horton overland flow as a percent","percent","Percentage of Horton overland flow as a percent","https://www.sciencebase.gov/catalog/item/56f974e2e4b0a6037df06b55","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","divRoute_name"
"15","TOT_IEOF",NA,NA,"Percentage of Horton overland flow as a percent","https://www.sciencebase.gov/catalog/item/56f974e2e4b0a6037df06b55","Hydrologic","https://www.sciencebase.gov/catalog/item/5669a8a4e4b08895842a1d4c","totRoute_name"
