,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
1,USGS,01010000,"St. John River at Ninemile Bridge, Maine",ST,46.70055556,-69.7155556,S,NAD83, 931.26,.01,NGVD29,01010001
2,USGS,01010070,"Big Black River near Depot Mtn, Maine",ST,46.89388889,-69.7516667,S,NAD83, 885.00, 20,NGVD29,01010001
3,USGS,01010500,"St. John River at Dickey, Maine",ST,47.11305556,-69.0880556,S,NAD83, 590.38,.01,NGVD29,01010001
4,USGS,01011000,"Allagash River near Allagash, Maine",ST,47.0697222,-69.0794444,S,NAD83, 604.60,.01,NGVD29,01010002
5,USGS,01013500,"Fish River near Fort Kent, Maine",ST,47.2375,-68.58277778,S,NAD83, 511.38,.01,NGVD29,01010003
6,USGS,01014000,"St. John River below Fish R, nr Fort Kent, Maine",ST,47.283333299999995,-68.58527778,S,NAD83, 505,  3,NAVD88,01010001
7,USGS,01015800,"Aroostook River near Masardis, Maine",ST,46.52305556,-68.3716667,S,NAD83, 530.00,.01,NGVD29,01010004
8,USGS,01017000,"Aroostook River at Washburn, Maine",ST,46.777222200000004,-68.1572222,S,NAD83, 436.40,.01,NGVD29,01010004
9,USGS,01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",ST,46.7836111,-67.9891667,5,NAD83, 486.7, .1,NAVD88,01010004
10,USGS,01017290,"Little Madawaska River at Caribou, Maine",ST,46.888611100000006,-67.945,5,NAD83, 420,  1,NAVD88,01010004
11,USGS,01017550,"Williams Brook at Phair, Maine",ST,46.62805556,-67.9530556,S,NAD83, 580, 10,NGVD29,01010005
12,USGS,01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",ST,46.105,-67.88138889,S,NAD83, 355, 10,NGVD29,01010005
13,USGS,01018000,"Meduxnekeag River near Houlton, Maine",ST,46.105,-67.8666667,S,NAD83, 333.92,.01,NGVD29,01010005
14,USGS,01018009,"Pearce Brook at Route 1 at Houlton, Maine",ST,46.11527778,-67.84027778,5,NAD83, 355, 10,NAVD88,01010005
15,USGS,01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",ST,46.1811111,-67.80388889,S,NAD83, 290., 10,NGVD29,01010005
16,USGS,01018500,"St. Croix River at Vanceboro, Maine",ST,45.5683333,-67.42833329999999,S,NAD83, 367.20, .1,NAVD88,01050001
17,USGS,01019000,"Grand Lake Stream at Grand Lake Stream, Maine",ST,45.1725,-67.76888889,S,NAD83, 273.56, .1,NAVD88,01050001
18,USGS,01021000,"St. Croix River at Baring, Maine",ST,45.1369444,-67.3180556,S,NAD83, 65.72, .1,NAVD88,01050001
19,USGS,01021200,"Dennys River at Dennysville, Maine",ST,44.90138889,-67.2475,S,NAD83, 54.78,.01,NGVD29,01050002
20,USGS,01021230,"Cathance Stream at Edmunds, Maine",ST,44.8869444,-67.2669444,S,NAD83, 75, 10,NGVD29,01050002
21,USGS,01021452,Mopang Stream near Beddington ME,ST,44.8711111,-67.94138889,S,NAD83, 310, 10,NGVD29,01050002
22,USGS,01021470,"Libby Brook near Northfield, Maine",ST,44.8008333,-67.725,S,NAD83, 133.16,0.1,NAVD88,01050002
23,USGS,01021480,"Old Stream near Wesley, Maine",ST,44.936944399999994,-67.73611109999999,S,NAD83, 170., 10,NGVD29,01050002
24,USGS,01021500,"Machias River at Whitneyville, Maine",ST,44.72305556,-67.5205556,S,NAD83, 37.22,.05,NGVD29,01050002
25,USGS,01022210,"Pleasant River above Colonel Brk nr Crebo Flat, ME",ST,44.7825,-67.9230556,S,NAD83, 230, 10,NGVD29,01050002
26,USGS,01022220,"Pleasant River near Crebo Flat, Maine",ST,44.76888889,-67.9233333,S,NAD83, 200, 10,NGVD29,01050002
27,USGS,01022260,"Pleasant River near Epping, Maine",ST,44.69777778,-67.7872222,S,NAD83, 127.02,.01,NGVD29,01050002
28,USGS,01022294,"East Br Bear Brook near Beddington, Maine",ST,44.85909167,-68.10396389,5,NAD83, 906.55,.01,NGVD29,01050002
29,USGS,01022295,"West Br Bear Brook near Beddington, Maine",ST,44.858575,-68.1031694,5,NAD83, 912.72,.01,NGVD29,01050002
30,USGS,01022330,"Narraguagus River at Deblois, Maine",ST,44.7408333,-68.0133333,S,NAD83, 18.34,.01,NGVD29,01050002
31,USGS,01022500,"Narraguagus River at Cherryfield, Maine",ST,44.60805556,-67.93527778,S,NAD83, 44.20,.01,NGVD29,01050002
32,USGS,01022800,"Old Mill Brook at Old Norway Dr nr Bar Harbor, ME",ST,44.39850278,-68.28772778,5,NAD83, 900, 15,NGVD29,01050002
33,USGS,01022835,"Cadillac Brook near Bar Harbor, Maine",ST,44.34416667,-68.2169444,S,NAD83, 405, 20,NGVD29,01050002
34,USGS,01022840,"Otter Creek near Bar Harbor, Maine",ST,44.33277778,-68.2066667,S,NAD83, 90, 10,NGVD29,01050002
35,USGS,01022860,"Hadlock Bk nr Cedar Swamp Mtn nr Northeast Hbr, ME",ST,44.33055556,-68.28277778,S,NAD83, 570, 20,NGVD29,01050002
36,USGS,01027200,"North Branch Penobscot River nr Pittston Farm, ME",ST,45.93527778,-69.9936111,S,NAD83, 1086.20,.01,NGVD29,01020001
37,USGS,01027240,"S. Br. Penobscot River nr Canada Falls Lake, Maine",ST,45.8739222,-69.9950083,1,NAD83, 1213,4.3,NAVD88,01020001
38,USGS,01029200,"Seboeis River near Shin Pond, Maine",ST,46.14305556,-68.6336111,S,NAD83, 512.00, .1,NGVD29,01020002
39,USGS,01029500,"East Branch Penobscot River at Grindstone, Maine",ST,45.73027778,-68.5894444,S,NAD83, 294.74,.01,NGVD29,01020002
40,USGS,01030000,"PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME",ST,45.5663333,-68.40366389,5,NAD83, 191.72,.01,NGVD29,01020005
41,USGS,01030350,Wytopitlock Stream near Wytopitlock Maine,ST,45.708611100000006,-68.1580556,5,NAD83, 395,  5,NGVD29,01020003
42,USGS,01030500,"Mattawamkeag River near Mattawamkeag, Maine",ST,45.5011111,-68.3058333,S,NAD83, 217.00, 10,NGVD29,01020003
43,USGS,01031300,"Piscataquis River at Blanchard, Maine",ST,45.2672222,-69.58388889,S,NAD83, 564.09,.01,NGVD29,01020004
44,USGS,01031450,"Kingsbury Stream at Abbot Village, Maine",ST,45.1844444,-69.45222220000001,S,NAD83, 423.00,.01,NGVD29,01020004
45,USGS,01031500,"Piscataquis River near Dover-Foxcroft, Maine",ST,45.175,-69.3147222,S,NAD83, 358.47,.01,NGVD29,01020004
46,USGS,01031510,"Black Stream near Dover-Foxcroft, Maine",ST,45.15027778,-69.23638889,5,NAD83, 405,  5,NGVD29,01020004
47,USGS,01033000,"Sebec River at Sebec, Maine",ST,45.27,-69.1122222,5,NAD83, 296.30, .1,NGVD29,01020004
48,USGS,01034000,"Piscataquis River at Medford, Maine",ST,45.26055556,-68.8686111,S,NAD83, 248.68,.01,NGVD29,01020004
49,USGS,01034500,"Penobscot River at West Enfield, Maine",ST,45.2361111,-68.65138889,S,NAD83, 125.94,.01,NGVD29,01020005
50,USGS,01036390,"Penobscot River at Eddington, Maine",ST,44.82666667,-68.69666670000001,S,NAD83, 7.20,.01,NGVD29,01020005
51,USGS,01037000,"Kenduskeag Stream near Bangor, Maine",ST,44.8611111,-68.8316667,S,NAD83, 69.14,.01,NAVD88,01020005
52,USGS,01037380,"Ducktrap River near Lincolnville, Maine",ST,44.32916667,-69.0608333,S,NAD83, 135, 10,NGVD29,01050002
53,USGS,01038000,"Sheepscot River at North Whitefield, Maine",ST,44.22277778,-69.59388889,S,NAD83, 101.05,.01,NGVD29,01050003
54,USGS,01042500,"Kennebec River at The Forks, Maine",ST,45.339722200000004,-69.96194440000001,S,NAD83, 569.03,.01,NGVD29,01030001
55,USGS,01043500,"Dead River near Dead River, Maine",ST,45.22905,-70.20112778,5,NAD83, 1037.32,.01,NGVD29,01030002
56,USGS,01044550,"Spencer Stream near Grand Falls, Maine",ST,45.3136111,-70.2416667,S,NAD83, 1020, 10,NGVD29,01030002
57,USGS,01046000,"Austin Stream at Bingham, Maine",ST,45.0644444,-69.8805556,S,NAD83, 350.14,.01,NGVD29,01030003
58,USGS,01046500,"Kennebec River at Bingham, Maine",ST,45.0519444,-69.8855556,S,NAD83, 330.20,.01,NGVD29,01030003
59,USGS,01047000,"Carrabassett River near North Anson, Maine",ST,44.86916667,-69.955,S,NAD83, 303.30,.01,NGVD29,01030003
60,USGS,01047150,"Kennebec River near Madison, Maine",ST,44.77888889,-69.8869444,S,NAD83, 180, 10,NGVD29,01030003
61,USGS,01047200,"Sandy River near Madrid, Maine",ST,44.85777778,-70.48527778,5,NAD83, 930, 10,NGVD29,01030003
62,USGS,01048000,"Sandy River near Mercer, Maine",ST,44.70805556,-69.9375,S,NAD83, 197.10,.01,NGVD29,01030003
63,USGS,01048220,"East Branch Wesserunsett Stream near Athens, Maine",ST,44.9475,-69.6569444,5,NAD83, 500, 10,NGVD29,01030003
64,USGS,01049000,"Sebasticook River near Pittsfield, Maine",ST,44.71666667,-69.41388889,S,NAD83, 133.94,.01,NGVD29,01030003
65,USGS,01049130,"JOHNSON BROOK AT SOUTH ALBION,ME",ST,44.49818889,-69.4861306,5,NAD83, 225.00,  5,NGVD29,01030003
66,USGS,01049205,"Kennebec River near Waterville, ME",ST,44.530558299999996,-69.6468056,5,NAD83, 15.12,.01,NGVD29,01030003
67,USGS,01049265,"Kennebec River at North Sidney, Maine",ST,44.4722222,-69.68388889,S,NAD83, 15.12,.01,NGVD29,01030003
68,USGS,01049373,"MILL STREAM AT WINTHROP, ME",ST,44.30671944,-69.97105278,5,NAD83, 176.42,.01,NGVD29,01030003
69,USGS,01049500,"Cobbosseecontee Stream at Gardiner, Maine",ST,44.22916667,-69.7780556,S,NAD83, 20.00,.01,NGVD29,01030003
70,USGS,01049550,"Togus Stream at Togus, Maine",ST,44.26613056,-69.69793609999999,5,NAD83, 131.28,.01,NGVD29,01030003
71,USGS,01052500,"Diamond River near Wentworth Location, NH",ST,44.8775,-71.0575,S,NAD83, 1259.48,.01,NGVD29,01040001
72,USGS,01053500,"Androscoggin River at Errol, NH",ST,44.7825,-71.12861109999999,S,NAD83, 1227.30,.01,NGVD29,01040001
73,USGS,01053600,Androscoggin River below Bog Brook at Cambridge NH,ST,44.6661111,-71.18138889,S,NAD83, 1180, 10,NGVD29,01040001
74,USGS,01054000,"Androscoggin River near Gorham, NH",ST,44.4358333,-71.19027778,S,NAD83, 832.88,.01,NGVD29,01040001
75,USGS,01054114,"Peabody River at Gorham, New Hampshire",ST,44.38131944,-71.1706556,5,NAD83, 794,4.3,NAVD88,01040002
76,USGS,01054200,"Wild River at Gilead, Maine",ST,44.39055556,-70.97972220000001,S,NAD83, 683.10,.01,NGVD29,01040002
77,USGS,01054300,"Ellis River at South Andover, Maine",ST,44.5933333,-70.7330556,S,NAD83, 620.00,.01,NGVD29,01040002
78,USGS,01054500,"Androscoggin River at Rumford, Maine",ST,44.5519444,-70.5441667,5,NAD83, 420.00,.01,NGVD29,01040002
79,USGS,01055000,"Swift River near Roxbury, Maine",ST,44.64277778,-70.58888889,S,NAD83, 615.67,.01,NGVD29,01040002
80,USGS,01055220,"Dead River at Leeds, Maine",ST,44.31805556,-70.12222220000001,S,NAD83, 264.94,.01,NGVD29,01040002
81,USGS,01055500,"Nezinscot River at Turner Center, Maine",ST,44.26944444,-70.22972220000001,S,NAD83, 276.29,.01,NGVD29,01040002
82,USGS,01056400,"The Basin outlet at North Auburn, Maine",ST,44.17694167,-70.2765056,5,NAD83, 266.13,.01,NGVD29,01040002
83,USGS,01056480,"Townsend Brook near Auburn, Maine",ST,44.16648889,-70.2371694,5,NAD83, 266.78,.01,NGVD29,01040002
84,USGS,01056505,"Bobbin Mill Brook near Auburn, Maine",ST,44.14228889,-70.2256306,5,NAD83, 232.44,.01,NGVD29,01040002
85,USGS,01057000,"Little Androscoggin River near South Paris, Maine",ST,44.30388889,-70.5397222,S,NAD83, 447.00,.01,NGVD29,01040002
86,USGS,01059000,"Androscoggin River near Auburn, Maine",ST,44.0722222,-70.2080556,S,NAD83, 109.18,.01,NGVD29,01040002
87,USGS,01059800,"Collyer Brook near Gray, Maine",ST,43.91789444,-70.3165972,5,NAD83, 178.66,.01,NGVD29,01060001
88,USGS,01060000,"Royal River at Yarmouth, Maine",ST,43.79915,-70.1782694,5,NAD83, 09.51,.01,NGVD29,01060001
89,USGS,01063100,"Crooked River near Naples, Maine",ST,43.978975,-70.56365,5,NAD83, 268.11,.01,NGVD29,01060001
90,USGS,01063310,"Stony Brook at East Sebago, Maine",ST,43.85555556,-70.63972220000001,S,NAD83, 275.35,.01,NGVD29,01060001
91,USGS,01063452,"Standish Brook at mouth, at Sebago Lake, Maine",ST,43.763161100000005,-70.524825,5,NAD83, 275,  5,NGVD29,01060001
92,USGS,01064118,"Presumpscot River at Westbrook, Maine",ST,43.68694444,-70.3472222,S,NAD83, 13.42,.01,NGVD29,01060001
93,USGS,010642505,"SACO RIVER AT RIVER STREET, AT BARTLETT, NH",ST,44.08388889,-71.2855556,S,NAD83, 665, 40,NGVD29,01060002
94,USGS,01064300,"ELLIS RIVER NEAR JACKSON, NH",ST,44.2189557,-71.2492401,S,NAD83, 1500.00, 20,NGVD29,01060002
